id,city,lat,lng,Cloudiness,Country,Date,Humidity,Windspeed,MaxTemp
1,Jamestown,-33.21,138.6,0,AU,1569806869,49,4.48,16.53
2,Northam,-31.65,116.67,75,AU,1569806869,100,0.5,17
3,Kapaa,22.08,-159.32,75,US,1569806869,58,7.7,32
4,Hermanus,-34.42,19.24,2,ZA,1569806869,97,3.6,13.89
5,Alofi,-19.06,-169.92,52,NU,1569806870,94,7.7,24
6,Khatanga,71.98,102.47,51,RU,1569806870,82,3.11,-4.37
7,Puerto Escondido,15.86,-97.07,90,MX,1569806870,65,2.6,26
8,Thompson,55.74,-97.86,75,CA,1569806665,64,1.72,2
9,Dingle,11,122.67,100,PH,1569806870,76,1.79,27.07
10,Cape Town,-33.93,18.42,20,ZA,1569806821,87,2.6,15
11,Kesinga,20.19,83.22,100,IN,1569806871,97,2.1,22.45
12,Busselton,-33.64,115.35,3,AU,1569806871,55,5.1,20
13,Dikson,73.51,80.55,87,RU,1569806871,76,2.7,-0.59
14,Monrovia,6.33,-10.8,40,LR,1569806872,94,2.32,25
15,Ahipara,-35.17,173.16,3,NZ,1569806872,84,10.39,15.18
16,Inuvik,68.36,-133.71,75,CA,1569806872,49,3.6,8
17,Tuktoyaktuk,69.44,-133.03,40,CA,1569806872,70,3.6,6
18,Rochegda,62.67,43.41,92,RU,1569806872,89,3.86,3.5
19,Provideniya,64.42,-173.23,0,RU,1569806873,81,2,8
20,Bluff,-23.58,149.07,32,AU,1569806693,25,3.74,28.79
21,Katsuura,33.93,134.5,75,JP,1569806873,78,4.6,27
22,Georgetown,6.8,-58.16,0,GY,1569806873,78,4.1,28
23,Port Alfred,-33.59,26.89,100,ZA,1569806873,90,2.68,15.56
24,Lamu,35.77,102.37,31,CN,1569806873,48,0.18,8.96
25,Mount Isa,-20.73,139.49,0,AU,1569806874,10,8.7,34
26,Atuona,-9.8,-139.03,10,PF,1569806874,80,8.17,26.36
27,Palanga,44.45,25.08,0,RO,1569806874,53,1.85,17.27
28,Ushuaia,-54.81,-68.31,75,AR,1569806672,97,5.7,0
29,Kiama,-34.67,150.86,75,AU,1569806875,54,6.7,16.11
30,Longyearbyen,78.22,15.63,75,NO,1569806875,64,7.7,1
31,Virginia Beach,36.85,-75.98,40,US,1569806754,88,6.2,23.89
32,Saint-Philippe,45.36,-73.48,1,CA,1569806875,93,0.73,10
33,Nanortalik,60.14,-45.24,0,GL,1569806783,88,1.11,4.08
34,Camacha,33.08,-16.33,40,PT,1569806875,72,1.5,21
35,Hobart,-42.88,147.33,40,AU,1569806724,40,6.2,12
36,Mahebourg,-20.41,57.7,40,MU,1569806876,88,1.5,21
37,Port Hardy,50.7,-127.42,5,CA,1569806876,47,1,13
38,Vaini,15.34,74.49,40,IN,1569806682,94,1.15,21
39,Kavieng,-2.57,150.8,53,PG,1569806876,70,1.02,28.09
40,Marawi,8,124.29,100,PH,1569806877,73,1.79,27.78
41,Cooma,-36.24,149.13,80,AU,1569806877,51,4.6,9
42,Kulhudhuffushi,6.62,73.07,100,MV,1569806877,77,3.54,26.55
43,San Patricio,-26.98,-56.83,0,PY,1569806877,45,3.13,23.02
44,Nikolskoye,59.7,30.79,75,RU,1569806878,87,2,11
45,Lompoc,34.64,-120.46,1,US,1569806878,59,7.2,21.11
46,Rikitea,-23.12,-134.97,98,PF,1569806585,75,5.21,21.28
47,Tuatapere,-46.13,167.69,55,NZ,1569806878,71,8.94,9.44
48,Batagay-Alyta,67.8,130.41,26,RU,1569806878,76,0.3,-10.54
49,Puerto Ayora,-0.74,-90.35,20,EC,1569806715,64,6.2,23
50,Abalak,15.46,6.28,91,NE,1569806879,10,2.03,32.36
51,Plettenberg Bay,-34.05,23.37,100,ZA,1569806879,89,2.21,11.61
52,Kodiak,39.95,-94.76,20,US,1569806879,78,6.2,26.11
53,Hofn,64.25,-15.21,0,IS,1569806879,68,5.64,-0.85
54,New Norfolk,-42.78,147.06,40,AU,1569806880,40,6.2,12
55,Nicoya,10.15,-85.45,0,CR,1569806880,74,2.1,28
56,Lakselv,70.05,24.96,100,NO,1569806880,94,8.7,3
57,Bredasdorp,-34.53,20.04,86,ZA,1569806880,87,3.1,11.11
58,Yellowknife,62.45,-114.38,20,CA,1569806881,56,5.7,7
59,Mtinko,-4.55,34.84,100,TZ,1569806881,68,4.1,18.36
60,Montepuez,-13.13,39,9,MZ,1569806881,90,1.96,20.12
61,Blagoyevo,63.37,47.92,100,RU,1569806881,82,3.51,3.29
62,Chino Valley,34.76,-112.45,1,US,1569806805,42,5.7,22.78
63,Walvis Bay,-22.95,14.51,0,NA,1569806881,100,3.1,17.22
64,Coos Bay,43.37,-124.22,40,US,1569806882,76,3.6,13.33
65,Kerema,-7.96,145.78,65,PG,1569806882,84,1.49,26.21
66,El Alto,-16.5,-68.19,9,BO,1569806882,52,2.1,6
67,Nizwa,22.93,57.53,23,OM,1569806882,65,0.2,23.9
68,Dawson,39.85,-89.46,1,US,1569806883,94,2.6,23.89
69,Morondava,-20.3,44.28,0,MG,1569806883,73,3.61,21.87
70,Fuerte Olimpo,-21.04,-57.87,17,BR,1569806883,39,1.93,28.85
71,Geraldton,49.72,-86.95,90,CA,1569806883,65,3.1,5
72,Vangaindrano,-23.35,47.6,99,MG,1569806883,96,0.72,20.6
73,Avarua,-21.21,-159.78,57,CK,1569806884,60,6.2,24
74,Rawson,-43.3,-65.11,31,AR,1569806884,22,5.48,15.12
75,Arroyo,-11.08,-66.08,89,BO,1569806884,61,2.51,27.85
76,Moroni,35.09,24.92,20,GR,1569806885,88,3.1,19.44
77,Carbonia,39.17,8.53,20,IT,1569806885,82,1.5,21.11
78,Kenai,60.55,-151.26,90,US,1569806650,93,2.6,10.56
79,Cabinda,-5.56,12.19,36,AO,1569806885,82,6.69,24.72
80,Kovur,14.5,79.99,96,IN,1569806885,85,2.23,24.75
81,Chuy,-33.69,-53.46,0,UY,1569806754,88,6.09,15.64
82,Naryan-Mar,67.67,53.09,100,RU,1569806886,92,6.92,6.4
83,Cabo San Lucas,22.89,-109.91,75,MX,1569806681,73,7.7,28.89
84,Albany,42.65,-73.75,75,US,1569806653,54,1.5,12.22
85,Makakilo City,21.35,-158.09,1,US,1569806846,52,4.1,31
86,Punta Arenas,-53.16,-70.91,40,CL,1569806886,55,8.7,3
87,Bukachacha,52.99,116.91,45,RU,1569806887,74,1.48,5.61
88,Port Elizabeth,39.31,-74.98,1,US,1569806887,82,2.1,23
89,Severo-Kurilsk,50.68,156.12,95,RU,1569806887,96,6.92,9.37
90,Hilo,19.71,-155.08,20,US,1569806887,58,4.6,30
91,Arlit,18.74,7.39,0,NE,1569806887,10,3.65,33.74
92,Lavrentiya,65.58,-170.99,64,RU,1569806888,74,3.47,5.49
93,Bethel,60.79,-161.76,75,US,1569806730,71,8.2,11
94,Beipiao,41.8,120.76,13,CN,1569806888,53,2.66,19.58
95,Cherskiy,68.75,161.3,98,RU,1569806888,78,1.56,-0.61
96,East London,-33.02,27.91,100,ZA,1569806889,83,6.49,13.81
97,Akdepe,42.05,59.39,0,TM,1569806889,47,4.1,14
98,Vila,45.18,8.4,0,IT,1569806889,93,1,18.89
99,Ulaangom,49.98,92.07,100,MN,1569806889,69,3.35,7.33
100,Mayo,63.59,-135.9,90,CA,1569806889,52,1.5,6
101,Hithadhoo,-0.6,73.08,13,MV,1569806890,73,4.61,27.58
102,San Ramon,12.92,-85.84,20,NI,1569806890,93,0.88,21.21
103,Pacific Grove,36.62,-121.92,1,US,1569806677,52,4.1,18
104,Takoradi,4.89,-1.75,82,GH,1569806890,98,1.7,23.06
105,Naze,5.43,7.07,40,NG,1569806890,94,1.34,24
106,Jacareacanga,-6.22,-57.76,90,BR,1569806891,73,0.82,24.52
107,Airai,-8.93,125.41,2,TL,1569806891,33,0.67,28.85
108,Mar del Plata,-46.43,-67.52,24,AR,1569806885,30,15.13,9.75
109,Soligalich,59.08,42.29,100,RU,1569806891,94,4.51,7.93
110,Taywarah,33.35,64.42,0,AF,1569806892,46,3.17,8.94
111,Lakes Entrance,-37.88,147.99,95,AU,1569806892,55,0.45,14.44
112,Barrow,-38.31,-60.23,51,AR,1569806892,98,2.72,14.71
113,Mehamn,71.03,27.85,94,NO,1569806892,81,3.27,2.59
114,Mattru,7.62,-11.83,100,SL,1569806893,97,1.65,22.86
115,Bima,-8.45,118.73,69,ID,1569806893,60,2.28,25.78
116,Castro,-42.48,-73.76,75,CL,1569806893,86,5.1,5
117,Qaanaaq,77.48,-69.36,91,GL,1569806893,66,2.91,0.3
118,Ucluelet,48.94,-125.55,20,CA,1569806803,30,2.6,15
119,Torbay,47.66,-52.73,75,CA,1569806894,100,10.3,12.22
120,Whitehorse,60.72,-135.06,75,CA,1569806894,37,7.2,12
121,Flums,47.09,9.34,90,CH,1569806894,77,2.6,21
122,Faanui,-16.48,-151.75,1,PF,1569806894,80,8.79,25.03
123,Solnechnyy,50.72,136.64,3,RU,1569806894,55,0.19,10.47
124,Bulgan,48.81,103.53,77,MN,1569806895,58,3.66,8.94
125,Kruisfontein,-34,24.73,100,ZA,1569806895,81,6.48,11.96
126,Ribeira Grande,38.52,-28.7,16,PT,1569806895,80,4.97,22.19
127,Goundam,16.42,-3.66,0,ML,1569806895,16,4.59,34.1
128,Paita,-5.09,-81.11,8,PE,1569806896,94,7.99,17.95
129,Danville,37.82,-122,20,US,1569806896,55,5.1,17.78
130,Haines Junction,60.75,-137.51,85,CA,1569806896,37,3.89,6.26
131,Maceio,-9.67,-35.74,20,BR,1569806867,94,1.7,22
132,Berlevag,70.86,29.09,100,NO,1569806896,81,4.59,4.78
133,Harbour Breton,47.48,-55.8,46,CA,1569806897,80,10.18,11.41
134,Butaritari,3.07,172.79,67,KI,1569806723,67,4.57,29.39
135,Tucupita,9.06,-62.05,97,VE,1569806897,90,2.17,25.61
136,Lata,30.78,78.62,78,IN,1569806897,83,1.57,0.5
137,Khvastovichi,53.47,35.09,41,RU,1569806897,97,3.27,8.14
138,Esperance,-33.86,121.89,0,AU,1569806898,63,7.7,19
139,Kaitangata,-46.28,169.85,97,NZ,1569806862,49,6.71,11.11
140,Belyy Yar,53.6,91.39,0,RU,1569806898,60,8,4
141,Sajanan,37.06,9.24,0,TN,1569806898,100,1.5,17
142,Port Hedland,-20.31,118.58,0,AU,1569806898,20,8.7,31
143,Port Blair,11.67,92.75,40,IN,1569806899,94,1,26
144,Katobu,-4.94,122.53,51,ID,1569806899,63,2.44,27.33
145,Najran,17.54,44.22,40,SA,1569806899,43,1.36,22
146,Vila Velha,-3.71,-38.6,75,BR,1569806899,78,4.1,26
147,Karasjok,69.47,25.52,100,NO,1569806899,95,8.7,2
148,Smithers,54.78,-127.17,20,CA,1569806900,29,1.5,10
149,Shache,38.42,77.24,0,CN,1569806900,17,2.95,19.6
150,Imbituba,-28.24,-48.67,75,BR,1569806881,82,5.1,20
151,Port Lincoln,-34.72,135.86,0,AU,1569806679,79,8.63,12.78
152,Carnarvon,-30.97,22.13,43,ZA,1569806900,64,10.25,8.78
153,Axim,4.87,-2.24,84,GH,1569806901,94,3.36,24.46
154,Pangai,-19.8,-174.35,75,TO,1569806901,74,7.2,26
155,Horta,-10.93,-37.66,20,BR,1569806901,78,3.1,25
156,Monaco-Ville,43.73,7.42,0,FR,1569806901,72,3.1,21
157,Iguape,-24.7,-47.56,40,BR,1569806902,93,1.55,17.73
158,Roald,62.58,6.12,100,NO,1569806902,87,5.1,7
159,Manzhouli,49.6,117.43,92,CN,1569806902,77,3.91,11.9
160,Igrim,63.19,64.42,100,RU,1569806903,96,2.73,2.96
161,Vilhena,-12.74,-60.15,56,BR,1569806678,69,1.19,24.87
162,Mataura,-46.19,168.86,76,NZ,1569806903,71,8.94,9.44
163,Nevsehir,38.62,34.71,0,TR,1569806903,66,1.5,9
164,Offa,5.92,-4.35,67,CI,1569806903,99,1.09,22.19
165,Taltal,-25.41,-70.49,5,CL,1569806904,91,1.51,10.56
166,Salamiyah,35.01,37.05,0,SY,1569806904,89,1.48,16.4
167,Sharan,33.15,68.78,0,AF,1569806904,87,0.73,11.53
168,Bambous Virieux,-20.34,57.76,40,MU,1569806904,88,1.5,21
169,Middelburg,51.5,3.61,100,NL,1569806904,72,13.9,15
170,Oum Hadjer,13.3,19.7,100,TD,1569806905,83,6.34,24.4
171,Greeley,41.55,-98.53,20,US,1569806905,69,7.2,27
172,Karlovac,45.49,15.55,0,HR,1569806905,87,1.5,16.67
173,Kununurra,-15.77,128.74,5,AU,1569806905,46,2.6,32
174,Gijon,43.54,-5.66,96,ES,1569806906,93,0.5,18.89
175,Irtyshskiy,58.33,68.13,99,RU,1569806906,97,2.91,2.01
176,Salina,38.84,-97.61,1,US,1569806906,74,7.2,27
177,Henties Bay,-22.12,14.28,0,NA,1569806906,87,2.68,17.22
178,Tabas,33.6,56.92,0,IR,1569806906,17,1,24
179,Gniezno,52.54,17.6,90,PL,1569806907,82,2.6,16.11
180,Concordia,-31.4,-58.02,0,AR,1569806907,50,7.15,22.22
181,Ancud,-41.87,-73.83,75,CL,1569806907,86,5.1,5
182,Caravelas,-17.73,-39.27,96,BR,1569806907,85,5.27,22.67
